model,arm,picks,reps,pick_rate,ci_low,ci_high
claude-haiku-4-5,cite_source,8,10,0.8,0.49015684672072335,0.9433190520193067
claude-haiku-4-5,control,1,10,0.1,0.01787574951572113,0.4041563854975721
claude-haiku-4-5,keyword_stuff,9,10,0.9,0.5958436145024278,0.9821242504842788
claude-haiku-4-5,problem_match,9,10,0.9,0.5958436145024278,0.9821242504842788
claude-haiku-4-5,quotation,9,10,0.9,0.5958436145024278,0.9821242504842788
claude-haiku-4-5,statistic,4,10,0.4,0.16817758120350967,0.6873304525498135
gemini-3.5-flash,cite_source,10,10,1.0,0.7224598312333834,1.0
gemini-3.5-flash,control,5,10,0.5,0.23658959361548731,0.7634104063845126
gemini-3.5-flash,keyword_stuff,10,10,1.0,0.7224598312333834,1.0
gemini-3.5-flash,problem_match,10,10,1.0,0.7224598312333834,1.0
gemini-3.5-flash,quotation,10,10,1.0,0.7224598312333834,1.0
gemini-3.5-flash,statistic,10,10,1.0,0.7224598312333834,1.0
